Legacy class name	Default ns class name	New ns class name	Notes
Ac_Accessor	\Avancore\Accessor		
Ac_Admin_Action	\Avancore\Admin\Action	\Avancore\Admin\AdminAction	
Ac_Admin_Column	\Avancore\Admin\Column	\Avancore\Admin\Column\AbstractColumn	
Ac_Admin_Column_Checked	\Avancore\Admin\Column\Checked	\Avancore\Admin\Column\CheckedColumn	
Ac_Admin_Column_DetailsLink	\Avancore\Admin\Column\DetailsLink	\Avancore\Admin\Column\DetailsLinkColumn	
Ac_Admin_Column_Published	\Avancore\Admin\Column\Published	\Avancore\Admin\Column\PublishedColumn	
Ac_Admin_Column_RecordBinder	\Avancore\Admin\Column\RecordBinder	\Avancore\Admin\Column\RecordBinderColumn	
Ac_Admin_Column_Reorder	\Avancore\Admin\Column\Reorder	\Avancore\Admin\Column\ReorderColumn	
Ac_Admin_Column_SaveOrder	\Avancore\Admin\Column\SaveOrder	\Avancore\Admin\Column\SaveOrderColumn	
Ac_Admin_Column_Switch	\Avancore\Admin\Column\Switch	\Avancore\Admin\Column\SwitchColumn	
Ac_Admin_Controller	\Avancore\Admin\Controller	\Avancore\Admin\AdminController	
Ac_Admin_ControllerTemplate	\Avancore\Admin\ControllerTemplate	\Avancore\Admin\AdminTemplate	
Ac_Admin_Datalink	\Avancore\Admin\Datalink	\Avancore\Admin\Datalink\AbstractDatalink	
Ac_Admin_Datalink_Subrecord	\Avancore\Admin\Datalink\Subrecord	\Avancore\Admin\Datalink\SubrecordDatalink	
Ac_Admin_Feature	\Avancore\Admin\Feature	\Avancore\Admin\Feature\AbstractFeature	
Ac_Admin_Feature_DebugSql	\Avancore\Admin\Feature\DebugSql	\Avancore\Admin\Feature\DebugSqlFeature	
Ac_Admin_Feature_Default	\Avancore\Admin\Feature\Default	\Avancore\Admin\Feature\DefaultFeature	
Ac_Admin_Feature_FacetedSearch	\Avancore\Admin\Feature\FacetedSearch		x
Ac_Admin_Feature_FacetedSearch_Control	\Avancore\Admin\Feature\FacetedSearch\Control		x
Ac_Admin_Feature_FacetedSearch_Template	\Avancore\Admin\Feature\FacetedSearch\Template		x
Ac_Admin_Feature_Reorder	\Avancore\Admin\Feature\Reorder	\Avancore\Admin\Feature\ReorderFeature	
Ac_Admin_Feature_ShowColumnsByFilter	\Avancore\Admin\Feature\ShowColumnsByFilter	\Avancore\Admin\Feature\ShowColumnsByFilterFeature	
Ac_Admin_Feature_SimpleSearch	\Avancore\Admin\Feature\SimpleSearch	\Avancore\Admin\Feature\SimpleSearchFeature	
Ac_Admin_Feature_Switch	\Avancore\Admin\Feature\Switch	\Avancore\Admin\Feature\SwitchFeature	
Ac_Admin_Feature_Trigger	\Avancore\Admin\Feature\Trigger	\Avancore\Admin\Feature\TriggerFeature	
Ac_Admin_Manager	\Avancore\Admin\Manager		
Ac_Admin_ManagerConfigService	\Avancore\Admin\ManagerConfigService		
Ac_Admin_ManagerConfigService_J25	\Avancore\Admin\ManagerConfigService\J25	\Avancore\Admin\Joomla25ManagerConfigService	
Ac_Admin_Manifest	\Avancore\Admin\Manifest		
Ac_Admin_MenuEntry	\Avancore\Admin\MenuEntry		
Ac_Admin_MenuGroup	\Avancore\Admin\MenuGroup		
Ac_Admin_Pagination	\Avancore\Admin\Pagination		
Ac_Admin_Processing	\Avancore\Admin\Processing	\Avancore\Admin\AbstractProcessing	
Ac_Admin_Processing_Delete	\Avancore\Admin\Processing\Delete	\Avancore\Admin\Processing\DeleteProcessing	
Ac_Admin_Processing_MapperMethod	\Avancore\Admin\Processing\MapperMethod	\Avancore\Admin\Processing\MapperMethodProcessing	
Ac_Admin_Processing_Method	\Avancore\Admin\Processing\Method	\Avancore\Admin\Processing\MethodProcessing	
Ac_Admin_Processing_Publish	\Avancore\Admin\Processing\Publish	\Avancore\Admin\Processing\PublishProcessing	
Ac_Admin_Processing_Reorder	\Avancore\Admin\Processing\Reorder	\Avancore\Admin\Processing\ReorderProcessing	
Ac_Admin_Processing_SaveOrder	\Avancore\Admin\Processing\SaveOrder	\Avancore\Admin\Processing\SaveOrderProcessing	
Ac_Admin_Processing_Switch	\Avancore\Admin\Processing\Switch	\Avancore\Admin\Processing\SwitchProcessing	
Ac_Admin_ReportEntry	\Avancore\Admin\ReportEntry		
Ac_Admin_Template	\Avancore\Admin\Template		
Ac_Admin_Template_Pagination	\Avancore\Admin\Template\Pagination	\Avancore\Admin\PaginationTemplate	
Ac_Application	\Avancore\Application	\Avancore\Application\AbstractApplication	
Ac_Application_Adapter	\Avancore\Application\Adapter	\Avancore\Application\Adapter\AbstractAdapter	
Ac_Application_Adapter_Joomla	\Avancore\Application\Adapter\Joomla	\Avancore\Application\Adapter\JoomlaAdapter	
Ac_Application_Adapter_Slave	\Avancore\Application\Adapter\Slave	\Avancore\Application\Adapter\SecondaryAdapter	
Ac_Application_Component	\Avancore\Application\Component	\Avancore\Application\ApplicationComponent	
Ac_Application_FrontController	\Avancore\Application\FrontController		
Ac_Application_FrontUrlMapper	\Avancore\Application\FrontUrlMapper		
Ac_Application_User_AbstractProvider	\Avancore\Application\User\AbstractProvider	\Avancore\Application\UserProvider\AbstractUserProvider	
Ac_Avancore	\Avancore\Avancore	\Avancore\Avancore	
Ac_Cache	\Avancore\Cache	\Avancore\Cache\FileCache	
Ac_Cache_Abstract	\Avancore\Cache\Abstract	\Avancore\Cache\AbstractCache	
Ac_Cache_Accessor	\Avancore\Cache\Accessor	\Avancore\Cache\CacheAccessor	
Ac_Cache_Memory	\Avancore\Cache\Memory	\Avancore\Cache\MemoryCache	
Ac_Cache_Null	\Avancore\Cache\Null	\Avancore\Cache\NullCache	
Ac_Cache_Util	\Avancore\Cache\Util	\Avancore\Interface\CacheUtilInterface	
